User Input,Chatbot Response,Timestamp
hi,Hey there! Ready to live sustainably?,2025-03-13 13:08:35
sustainable,Hello! I'm your EcoChatBot.,2025-03-13 14:42:15
bye,See you soon! Keep making sustainable choices!,2025-03-13 14:42:29
sustinable,Hi! How can I help you go green today?,2025-03-13 14:42:35
paper,Hi! How can I help you go green today?,2025-03-13 14:42:39
what is eco chat bot,Hey there! Ready to live sustainably?,2025-03-13 14:42:51
How can I save energy at home?,Use natural lighting during the day and switch to LED bulbs.,2025-03-13 14:47:26
Hi,Hello! I'm your EcoChatBot.,2025-03-13 14:52:22
eco system,Hello! I'm your EcoChatBot.,2025-03-13 14:52:31
Sustainable Living,Hey there! Ready to live sustainably?,2025-03-13 14:52:56
